code,fund_type,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
002251,hh,华夏军工安全混合,2021-11-12,2.134,2.134,4.15,9.27,25.53,7.94,59.13,61.79,145.01,165.42,21.87,113.4,0.15%,http://fund.eastmoney.com/002251.html
001404,gp,招商移动互联网产业股票基金,2021-11-12,1.822,1.822,-0.27,8.97,25.4,2.94,67.77,48.73,117.68,191.52,48.61,82.2,0.15%,http://fund.eastmoney.com/001404.html
004666,hh,长城久嘉创新成长混合A,2021-11-12,2.1884,2.1884,0.38,7.98,25.17,11.15,69.42,53.85,123.95,159.9,53.08,118.84,0.15%,http://fund.eastmoney.com/004666.html
213002,hh,宝盈泛沿海增长混合,2021-11-12,1.1282,3.1968,2.94,5.92,23.91,9.51,46.67,36.76,67.35,132.49,29.57,365.93,0.15%,http://fund.eastmoney.com/213002.html
005774,hh,华夏产业升级混合,2021-11-12,2.4687,2.4687,3.99,9.64,23.9,7.22,58.93,55.39,114.48,151.45,18.58,146.87,0.15%,http://fund.eastmoney.com/005774.html
160643,gp,鹏华空天军工指数(LOF)A,2021-11-12,1.8447,1.8447,3.76,8.23,23.66,10.65,55.79,52.61,132.83,152.98,17.05,84.47,0.12%,http://fund.eastmoney.com/160643.html
010364,gp,鹏华空天军工指数(LOF)C,2021-11-12,1.4794,1.4794,3.76,8.23,23.64,10.63,55.73,52.47,,,16.96,47.94,0.00%,http://fund.eastmoney.com/010364.html
002983,hh,长信国防军工量化混合A,2021-11-12,2.0745,2.0745,4.07,8.99,23.6,13.52,61.75,57.8,180.53,216.33,34.9,107.45,0.15%,http://fund.eastmoney.com/002983.html
008960,hh,长信国防军工量化混合C,2021-11-12,2.061,2.061,4.08,8.98,23.55,13.41,61.43,57.18,,,34.44,115.83,0.00%,http://fund.eastmoney.com/008960.html
001675,hh,江信同福A,2021-11-12,2.0141,2.0526,3.01,8.48,23.49,10.3,71.94,78.22,95.87,148.23,59.08,109.17,0.05%,http://fund.eastmoney.com/001675.html
000794,hh,宝盈睿丰创新混合A/B,2021-11-12,3.506,3.506,2.66,5.44,23.45,12.08,51.77,43.28,130.05,224.63,33.0,250.6,0.12%,http://fund.eastmoney.com/000794.html
001676,hh,江信同福C,2021-11-12,1.954,1.9875,3.02,8.47,23.44,10.16,71.52,77.35,93.83,144.77,58.39,101.94,0.00%,http://fund.eastmoney.com/001676.html
000796,hh,宝盈睿丰创新混合C,2021-11-12,3.118,3.118,2.67,5.44,23.39,11.88,51.21,42.11,126.43,216.87,32.12,211.8,0.00%,http://fund.eastmoney.com/000796.html
580009,hh,东吴多策略混合A,2021-11-12,2.5159,3.2789,3.45,9.72,23.27,9.5,67.4,60.85,120.93,189.62,34.79,368.02,0.15%,http://fund.eastmoney.com/580009.html
001822,hh,华商智能生活灵活配置混合,2021-11-12,3.17,3.17,1.96,2.76,23.2,14.52,80.73,98.87,231.24,306.41,72.66,217.0,0.15%,http://fund.eastmoney.com/001822.html
004224,hh,南方军工改革灵活配置混合A,2021-11-12,1.7662,1.7662,3.77,8.51,23.2,6.81,50.53,52.79,148.2,193.29,21.99,76.62,0.15%,http://fund.eastmoney.com/004224.html
010135,hh,泰达高研发6个月持有混合A,2021-11-12,1.5785,1.5785,1.08,-1.2,23.06,10.65,88.14,64.02,,,65.6,57.85,0.15%,http://fund.eastmoney.com/010135.html
010136,hh,泰达高研发6个月持有混合C,2021-11-12,1.5732,1.5732,1.07,-1.21,23.03,10.56,87.84,63.53,,,65.17,57.32,0.00%,http://fund.eastmoney.com/010136.html
001576,gp,国泰智能装备股票A,2021-11-12,3.431,3.431,0.65,3.69,22.93,12.31,55.04,51.55,205.25,274.97,38.07,243.1,0.15%,http://fund.eastmoney.com/001576.html
002256,hh,金信行业优选混合发起式,2021-11-12,2.691,2.691,0.37,5.82,22.71,9.35,57.55,63.09,157.02,287.19,47.61,169.1,0.15%,http://fund.eastmoney.com/002256.html
000689,hh,前海开源新经济混合A,2021-11-12,3.5688,3.6788,1.01,5.25,22.63,12.54,123.33,157.86,255.81,295.65,111.42,292.21,0.15%,http://fund.eastmoney.com/000689.html
000690,hh,前海开源大海洋混合,2021-11-12,2.753,2.753,4.08,9.72,22.52,9.38,56.51,67.76,156.57,230.49,30.47,175.3,0.15%,http://fund.eastmoney.com/000690.html
007872,hh,金信稳健策略灵活配置混合,2021-11-12,2.2573,2.2573,0.52,5.98,22.5,6.81,57.62,71.23,,,56.28,125.73,0.15%,http://fund.eastmoney.com/007872.html
519918,hh,华夏兴和混合,2021-11-12,4.555,6.648,3.69,7.66,22.48,8.69,65.76,64.68,192.93,269.72,65.34,355.5,0.15%,http://fund.eastmoney.com/519918.html
006081,gp,海富通电子传媒股票A,2021-11-12,3.6831,3.6831,0.87,5.51,22.44,9.2,72.79,76.15,186.73,,62.26,268.31,0.15%,http://fund.eastmoney.com/006081.html
006080,gp,海富通电子传媒股票C,2021-11-12,3.5669,3.5669,0.87,5.5,22.36,8.98,72.11,74.75,182.64,,61.15,256.69,0.00%,http://fund.eastmoney.com/006080.html
002181,hh,华安大安全主题混合A,2021-11-12,2.845,2.845,3.49,8.75,22.21,7.08,36.84,51.9,140.69,245.69,32.08,184.5,0.15%,http://fund.eastmoney.com/002181.html
398021,hh,中海能源策略混合,2021-11-12,1.8192,2.1292,1.56,0.8,22.12,19.63,89.13,115.06,173.32,220.73,83.0,165.71,0.15%,http://fund.eastmoney.com/398021.html
000354,hh,长盛城镇化主题混合,2021-11-12,2.075,2.723,3.34,7.96,21.92,11.68,48.43,42.22,64.81,110.87,28.96,216.01,0.15%,http://fund.eastmoney.com/000354.html
002885,hh,大摩万众创新混合A,2021-11-12,1.3159,1.3159,3.64,8.31,21.81,6.22,56.56,27.93,53.6,67.1,17.51,31.59,0.15%,http://fund.eastmoney.com/002885.html
001933,hh,华商新兴活力混合,2021-11-12,3.025,3.025,2.06,2.54,21.78,13.89,81.79,97.84,220.11,257.14,72.56,202.5,0.15%,http://fund.eastmoney.com/001933.html
005598,hh,广发中小盘精选混合A,2021-11-12,2.0288,2.0288,1.91,6.33,21.74,8.59,24.88,34.83,100.87,139.1,23.34,102.88,0.15%,http://fund.eastmoney.com/005598.html
213003,hh,宝盈策略增长混合,2021-11-12,1.5559,2.5779,2.74,5.19,21.67,9.23,37.62,27.39,89.7,134.65,19.37,234.24,0.15%,http://fund.eastmoney.com/213003.html
000828,gp,泰达转型机遇股票A,2021-11-12,3.971,4.191,0.99,-1.63,21.62,8.44,84.44,116.99,280.36,479.71,76.02,377.18,0.12%,http://fund.eastmoney.com/000828.html
000596,gp,前海开源中证军工指数A,2021-11-12,2.541,2.541,3.67,8.04,21.58,10.62,50.27,46.79,117.18,140.17,18.41,154.1,0.12%,http://fund.eastmoney.com/000596.html
002199,gp,前海开源中证军工指数C,2021-11-12,1.291,2.251,3.69,8.03,21.56,10.53,50.12,46.37,116.25,138.19,18.12,27.62,0.12%,http://fund.eastmoney.com/002199.html
004698,gp,博时军工主题股票A,2021-11-12,2.382,2.382,3.93,8.87,21.47,7.06,51.33,52.2,160.9,191.2,17.4,138.2,0.15%,http://fund.eastmoney.com/004698.html
164402,gp,前海开源中航军工指数,2021-11-12,1.338,1.338,3.64,8.25,21.31,9.76,50.51,54.15,109.91,133.87,17.47,38.12,0.12%,http://fund.eastmoney.com/164402.html
