,fund_type,code,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
6,gp,005669,前海开源公用事业股票,2021-06-25,2.2775,2.2775,0.76,7.14,28.44,61.62,35.82,126.3,123.13,129.82,37.08,127.75,0.15%,http://fund.eastmoney.com/005669.html
464,gp,000828,泰达转型机遇,2021-06-25,2.895,3.115,0.49,3.28,19.04,59.42,28.27,106.93,245.47,268.79,28.32,247.88,0.12%,http://fund.eastmoney.com/000828.html
1568,hh,000689,前海开源新经济混合,2021-06-25,2.324,2.434,0.65,7.69,27.97,59.18,35.04,92.22,140.08,157.94,37.68,155.41,0.15%,http://fund.eastmoney.com/000689.html
3111,hh,010135,泰达高研发创新6个月混合A,2021-06-25,1.1132,1.1132,0.03,2.82,18.3,57.08,20.4,,,,16.79,11.32,0.15%,http://fund.eastmoney.com/010135.html
3135,hh,010136,泰达高研发创新6个月混合C,2021-06-25,1.1107,1.1107,0.03,2.8,18.26,56.95,20.22,,,,16.61,11.07,0.00%,http://fund.eastmoney.com/010136.html
1760,hh,002083,新华鑫动力灵活配置混合A,2021-06-25,2.854,2.854,1.1,4.89,18.37,54.2,24.9,110.63,242.21,225.8,22.75,185.4,0.10%,http://fund.eastmoney.com/002083.html
1759,hh,002084,新华鑫动力灵活配置混合C,2021-06-25,2.8378,2.8378,1.1,4.89,18.36,54.16,24.85,110.36,241.49,224.69,22.69,183.78,0.00%,http://fund.eastmoney.com/002084.html
2930,hh,162201,泰达宏利成长混合,2021-06-25,2.0298,4.4263,0.33,2.98,17.23,53.09,24.75,17.71,81.36,123.5,20.63,1414.24,0.15%,http://fund.eastmoney.com/162201.html
1573,hh,002296,长城行业轮动混合,2021-06-25,2.0087,2.0087,1.37,7.19,18.52,52.36,43.39,64.57,76.65,88.98,38.59,100.87,0.15%,http://fund.eastmoney.com/002296.html
1623,hh,001298,金鹰民族新兴混合,2021-06-25,3.324,3.324,2.09,5.93,16.47,52.06,42.36,104.81,207.21,240.92,45.28,232.4,0.15%,http://fund.eastmoney.com/001298.html
2371,hh,007872,金信稳健策略灵活配置混合,2021-06-25,1.9451,1.9451,1.41,3.62,23.14,51.58,38.28,67.62,,,34.66,94.51,0.15%,http://fund.eastmoney.com/007872.html
1671,hh,002408,中信建投医改混合A,2021-06-25,3.4854,3.4854,3.44,5.48,9.63,50.68,39.23,63.22,242.38,191.67,38.12,248.54,0.12%,http://fund.eastmoney.com/002408.html
1673,hh,007553,中信建投医改混合C,2021-06-25,2.8966,2.8966,3.44,5.47,9.6,50.53,38.95,62.57,,,37.85,189.66,0.00%,http://fund.eastmoney.com/007553.html
1809,hh,400015,东方新能源汽车混合,2021-06-25,3.5055,3.9655,1.72,4.73,17.24,50.01,26.21,118.97,232.12,166.19,24.87,367.41,0.15%,http://fund.eastmoney.com/400015.html
1602,hh,000496,长安产业精选混合A,2021-06-25,1.9022,2.1422,1.22,6.21,18.35,49.79,24.21,53.39,63.64,63.07,24.89,137.38,0.15%,http://fund.eastmoney.com/000496.html
1612,hh,004745,长盛创新驱动灵活配置混合,2021-06-25,2.4039,2.4039,0.89,6.0,14.8,49.65,22.84,94.74,212.8,165.21,21.97,140.39,0.15%,http://fund.eastmoney.com/004745.html
