fund_type,code,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
gp,161721,招商沪深300地产等权重指数A,2021-11-12,0.7312,1.3908,-1.72,10.25,-8.46,0.15,-9.43,-19.28,-11.41,13.24,-14.86,18.40,0.10%,http://fund.eastmoney.com/161721.html
gp,013273,招商沪深300地产等权重指数C,2021-11-12,0.7311,0.7311,-1.73,10.25,-8.48,0.14,,,,,,0.14,0.00%,http://fund.eastmoney.com/013273.html
gp,160628,鹏华中证800地产指数(LOF),2021-11-12,0.9880,1.73,-1.10,10.14,-6.35,1.23,-5.90,-15.34,-2.37,16.21,-10.59,59.06,0.12%,http://fund.eastmoney.com/160628.html
gp,160218,国泰国证房地产行业指数,2021-11-12,0.9059,1.7616,-0.94,9.04,-4.30,2.91,-3.94,-15.49,-8.23,2.31,-10.94,44.62,0.10%,http://fund.eastmoney.com/160218.html
gp,001404,招商移动互联网产业股票基金,2021-11-12,1.8220,1.8220,-0.27,8.97,25.40,2.94,67.77,48.73,117.68,191.52,48.61,82.20,0.15%,http://fund.eastmoney.com/001404.html
gp,004698,博时军工主题股票A,2021-11-12,2.3820,2.3820,3.93,8.87,21.47,7.06,51.33,52.20,160.90,191.20,17.40,138.20,0.15%,http://fund.eastmoney.com/004698.html
gp,011592,博时军工主题股票C,2021-11-12,2.3730,2.3730,3.90,8.85,21.38,6.84,50.86,,,,,29.39,0.00%,http://fund.eastmoney.com/011592.html
gp,164402,前海开源中航军工指数,2021-11-12,1.3380,1.3380,3.64,8.25,21.31,9.76,50.51,54.15,109.91,133.87,17.47,38.12,0.12%,http://fund.eastmoney.com/164402.html
gp,160643,鹏华空天军工指数(LOF)A,2021-11-12,1.8447,1.8447,3.76,8.23,23.66,10.65,55.79,52.61,132.83,152.98,17.05,84.47,0.12%,http://fund.eastmoney.com/160643.html
gp,010364,鹏华空天军工指数(LOF)C,2021-11-12,1.4794,1.4794,3.76,8.23,23.64,10.63,55.73,52.47,,,16.96,47.94,0.00%,http://fund.eastmoney.com/010364.html
gp,160630,鹏华国防A,2021-11-12,1.5510,1.4190,3.61,8.08,21.08,6.74,47.71,46.61,122.39,133.61,12.07,46.27,0.12%,http://fund.eastmoney.com/160630.html
gp,010989,南方房地产ETF联接E,2021-11-12,0.7797,0.7797,-0.94,8.05,-5.05,0.67,-6.48,,,,-10.15,-12.97,0.00%,http://fund.eastmoney.com/010989.html
gp,012041,鹏华国防C,2021-11-12,1.4090,1.4090,3.60,8.05,21.05,6.74,47.54,,,,,40.90,0.00%,http://fund.eastmoney.com/012041.html
gp,000596,前海开源中证军工指数A,2021-11-12,2.5410,2.5410,3.67,8.04,21.58,10.62,50.27,46.79,117.18,140.17,18.41,154.10,0.12%,http://fund.eastmoney.com/000596.html
gp,004643,南方房地产ETF联接C,2021-11-12,0.7796,0.7796,-0.95,8.04,-5.05,0.67,-6.48,-15.30,-8.75,2.51,-10.16,-22.04,0.00%,http://fund.eastmoney.com/004643.html
gp,004642,南方房地产ETF联接A,2021-11-12,0.7928,0.7928,-0.95,8.04,-5.02,0.78,-6.29,-14.96,-8.02,3.76,-9.86,-20.72,0.12%,http://fund.eastmoney.com/004642.html
