code,name,fund_type,label,time,stock_code,stock_name,stock_proportion,stock_amount,stock_value
008887,华夏国证半导体芯片ETF联接A,gp,2021年1季度股票投资明细,2021-03-31,	603501,韦尔股份,0.33%,6.31,"1,619.98"
008887,华夏国证半导体芯片ETF联接A,gp,2021年1季度股票投资明细,2021-03-31,	603986,兆易创新,0.21%,6.07,"1,037.24"
008887,华夏国证半导体芯片ETF联接A,gp,2021年1季度股票投资明细,2021-03-31,	600703,三安光电,0.19%,39.87,928.17
008887,华夏国证半导体芯片ETF联接A,gp,2021年1季度股票投资明细,2021-03-31,	002129,中环股份,0.17%,30.11,851.81
008887,华夏国证半导体芯片ETF联接A,gp,2021年1季度股票投资明细,2021-03-31,	600745,闻泰科技,0.17%,8.50,833.00
008887,华夏国证半导体芯片ETF联接A,gp,2021年1季度股票投资明细,2021-03-31,	002049,紫光国微,0.16%,7.25,775.68
008887,华夏国证半导体芯片ETF联接A,gp,2021年1季度股票投资明细,2021-03-31,	600584,长电科技,0.13%,18.71,639.69
008887,华夏国证半导体芯片ETF联接A,gp,2021年1季度股票投资明细,2021-03-31,	002371,北方华创,0.11%,3.71,532.59
008887,华夏国证半导体芯片ETF联接A,gp,2021年1季度股票投资明细,2021-03-31,	002185,华天科技,0.09%,36.32,424.24
008887,华夏国证半导体芯片ETF联接A,gp,2021年1季度股票投资明细,2021-03-31,	603160,汇顶科技,0.08%,3.73,417.98
008888,华夏国证半导体芯片ETF联接C,gp,2021年1季度股票投资明细,2021-03-31,	603501,韦尔股份,0.33%,6.31,"1,619.98"
008888,华夏国证半导体芯片ETF联接C,gp,2021年1季度股票投资明细,2021-03-31,	603986,兆易创新,0.21%,6.07,"1,037.24"
008888,华夏国证半导体芯片ETF联接C,gp,2021年1季度股票投资明细,2021-03-31,	600703,三安光电,0.19%,39.87,928.17
008888,华夏国证半导体芯片ETF联接C,gp,2021年1季度股票投资明细,2021-03-31,	002129,中环股份,0.17%,30.11,851.81
008888,华夏国证半导体芯片ETF联接C,gp,2021年1季度股票投资明细,2021-03-31,	600745,闻泰科技,0.17%,8.50,833.00
008888,华夏国证半导体芯片ETF联接C,gp,2021年1季度股票投资明细,2021-03-31,	002049,紫光国微,0.16%,7.25,775.68
008888,华夏国证半导体芯片ETF联接C,gp,2021年1季度股票投资明细,2021-03-31,	600584,长电科技,0.13%,18.71,639.69
008888,华夏国证半导体芯片ETF联接C,gp,2021年1季度股票投资明细,2021-03-31,	002371,北方华创,0.11%,3.71,532.59
008888,华夏国证半导体芯片ETF联接C,gp,2021年1季度股票投资明细,2021-03-31,	002185,华天科技,0.09%,36.32,424.24
008888,华夏国证半导体芯片ETF联接C,gp,2021年1季度股票投资明细,2021-03-31,	603160,汇顶科技,0.08%,3.73,417.98
010003,景顺长城电子信息产业股票A,gp,2021年1季度股票投资明细,2021-03-31,	002841,视源股份,6.00%,131.14,"17,089.87"
010003,景顺长城电子信息产业股票A,gp,2021年1季度股票投资明细,2021-03-31,	688099,晶晨股份,5.80%,200.96,"16,521.03"
